BibTeX_Key	Title	Year	Category	Venue	Entry_Type	Authors	DOI	URL	Code
bui2024cross	Cross-data knowledge graph construction for LLM-enabled educational question-answering system: A case study at HCMUT	2024	LLM-Assisted Graph Construction / Knowledge Graphs	Proceedings of the 1st ACM Workshop on AI-Powered Q&A Systems for Multimedia	inproceedings	Bui, Tuan; Tran, Oanh; Nguyen, Phuong; Ho, Bao; Nguyen, Long; et al.			
huang2024ctikg	Ctikg: Llm-powered knowledge graph construction from cyber threat intelligence	2024	LLM-Assisted Graph Construction / Knowledge Graphs	First Conference on Language Modeling	inproceedings	Huang, Liangyi; Xiao, Xusheng			
kommineni2024human	From human experts to machines: An LLM supported approach to ontology and knowledge graph construction	2024	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2403.08345	article	Kommineni, Vamsi Krishna; Konig-Ries, Birgitta; Samuel, Sheeba			
gillani2024knowledge	Knowledge graph extraction from textual data using LLM	2024	LLM-Assisted Graph Construction / Knowledge Graphs	Information Society Conferences	inproceedings	Gillani, Khasa; Novak, Erik; Kenda, Klemen; Mladenic, Dunja			
shu2024knowledge	Knowledge graph large language model (KG-LLM) for link prediction	2024	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2403.07311	article	Shu, Dong; Chen, Tianle; Jin, Mingyu; Zhang, Chong; Du, Mengnan; et al.			
o2024phenomics	Phenomics assistant: An interface for LLM-based biomedical knowledge graph exploration	2024	LLM-Assisted Graph Construction / Knowledge Graphs	bioRxiv	article	Oâ€™Neil, Shawn T; Schaper, Kevin; Elsarboukh, Glass; Reese, Justin T; Moxon, Sierra AT; et al.			
sun2024thinkongraph	Think-on-Graph: Deep and Responsible Reasoning of Large Language Model on Knowledge Graph	2024	LLM-Assisted Graph Construction / Knowledge Graphs	International Conference on Learning Representations	inproceedings	Sun, Jiashuo; Xu, Chengjin; Tang, Lumingyuan; Wang, Saizhuo; Lin, Chen; et al.			
Pan2024LLMKGRoadmap	Unifying Large Language Models and Knowledge Graphs: A Roadmap	2024	LLM-Assisted Graph Construction / Knowledge Graphs	IEEE Transactions on Knowledge and Data Engineering	article	Shirui Pan; Linhao Luo; Yixin Wang; Chengen Chen; Jiaming Wang; et al.	10.1109/TKDE.2024.3352100		
yu2023bear	Bear: Revolutionizing service domain knowledge graph construction with llm	2023	LLM-Assisted Graph Construction / Knowledge Graphs	International Conference on Service-Oriented Computing	inproceedings	Yu, Shuang; Huang, Tao; Liu, Mingyi; Wang, Zhongjie			
meyer2023developing	Developing a scalable benchmark for assessing large language models in knowledge graph engineering	2023	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2308.16622	article	Meyer, Lars-Peter; Frey, Johannes; Junghanns, Kurt; Brei, Felix; Bulert, Kirill; et al.			
trajanoska2023enhancing	Enhancing knowledge graph construction using large language models	2023	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2305.04676	article	Trajanoska, Milena; Stojanov, Riste; Trajanov, Dimitar			
carta2023iterative	Iterative zero-shot llm prompting for knowledge graph construction	2023	LLM-Assisted Graph Construction / Knowledge Graphs	arXiv preprint arXiv:2307.01128	article	Carta, Salvatore; Giuliani, Alessandro; Piano, Leonardo; Podda, Alessandro Sebastian; Pompianu, Livio; et al.			
meyer2023llm	Llm-assisted knowledge graph engineering: Experiments with chatgpt	2023	LLM-Assisted Graph Construction / Knowledge Graphs	Working conference on artificial intelligence development for a resilient and sustainable tomorrow	inproceedings	Meyer, Lars-Peter; Stadler, Claus; Frey, Johannes; Radtke, Norman; Junghanns, Kurt; et al.			
mihindukulasooriya2023text2kgbench	Text2kgbench: A benchmark for ontology-driven knowledge graph generation from text	2023	LLM-Assisted Graph Construction / Knowledge Graphs	International semantic web conference	inproceedings	Mihindukulasooriya, Nandana; Tiwari, Sanju; Enguix, Carlos F; Lata, Kusum			
barua2022complex	Complex Ontology Alignment using LLMs: A Case Study	2022	LLM-Assisted Graph Construction / Knowledge Graphs		article	Barua, Adrita; Amini, Reza; Norouzi, Sanaz Saki; Amini, Reihaneh; Hitzler, Pascal			
he2026large	Large language model-enhanced symbolic reasoning for knowledge base completion	2026	Large Language Models / Foundation Models	IEEE Transactions on Audio, Speech and Language Processing	article	He, Qiyuan; Yu, Jianfei; Wang, Wenya			
moia2026llm	LLM in the middle: A systematic review of threats and mitigations to real-world LLM-based systems	2026	Large Language Models / Foundation Models	Computer Science Review	article	Moia, Vitor Hugo Galhardo; Sanz, Igor Jochem; Rebello, Gabriel Antonio Fontes; de Meneses, Rodrigo Duarte; Hitaj, Briland; et al.			
zemskova20253dgraphllm	3dgraphllm: Combining semantic graphs and large language models for 3d scene understanding	2025	Large Language Models / Foundation Models	Proceedings of the IEEE/CVF International Conference on Computer Vision	inproceedings	Zemskova, Tatiana; Yudin, Dmitry			
liang2025breaking	Breaking Obfuscation: Cluster-Aware Graph with LLM-Aided Recovery for Malicious JavaScript Detection	2025	Large Language Models / Foundation Models	arXiv preprint arXiv:2507.22447	article	Liang, Zhihong; Wang, Xin; Hu, Zhenhuang; Song, Liangliang; Chen, Lin; et al.			
tao2025code	Code graph model (cgm): A graph-integrated large language model for repository-level software engineering tasks	2025	Large Language Models / Foundation Models	arXiv preprint arXiv:2505.16901	article	Tao, Hongyuan; Zhang, Ying; Tang, Zhenhao; Peng, Hongen; Zhu, Xukun; et al.			
zhou2025each	Each graph is a new language: Graph Learning with LLMs	2025	Large Language Models / Foundation Models	Findings of the Association for Computational Linguistics: ACL 2025	inproceedings	Zhou, Huachi; Du, Jiahe; Zhou, Chuang; Yang, Chang; Xiao, Yilin; et al.			
li2025enrich	Enrich-on-Graph: Query-Graph Alignment for Complex Reasoning with LLM Enriching	2025	Large Language Models / Foundation Models	Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing	inproceedings	Li, Songze; Liu, Zhiqiang; Gui, Zhengke; Chen, Huajun; Zhang, Wen			
li2025generation	From generation to judgment: Opportunities and challenges of llm-as-a-judge	2025	Large Language Models / Foundation Models	Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing	inproceedings	Li, Dawei; Jiang, Bohan; Huang, Liangjie; Beigi, Alimohammad; Zhao, Chengshuai; et al.			
wei2025planner3d	Planner3D: LLM-enhanced graph prior meets 3D indoor scene explicit regularization	2025	Large Language Models / Foundation Models	IEEE transactions on pattern analysis and machine intelligence	article	Wei, Yao; Min, Martin Renqiang; Vosselman, George; Li, Li Erran; Yang, Michael Ying			
liu2025st	St-llm+: Graph enhanced spatio-temporal large language models for traffic prediction	2025	Large Language Models / Foundation Models	IEEE Transactions on Knowledge and Data Engineering	article	Liu, Chenxi; Hettige, Kethmi Hirushini; Xu, Qianxiong; Long, Cheng; Xiang, Shili; et al.			
Li2024GraphMeetsLLM	A Survey of Graph Meets Large Language Model: Progress and Future Directions	2024	Large Language Models / Foundation Models	Proceedings of the 33rd International Joint Conference on Artificial Intelligence (IJCAI)	inproceedings	Yuhan Li; Yesheng Zhao; Zhixin Wang; Jiajun Zhang; Chengqing Zong			
ren2024survey	A survey of large language models for graphs	2024	Large Language Models / Foundation Models	Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	inproceedings	Ren, Xubin; Tang, Jiabin; Yin, Dawei; Chawla, Nitesh; Huang, Chao			
yu2024security	An Insight into Security Code Review with LLMs: Capabilities, Obstacles and Influential Factors	2024	Large Language Models / Foundation Models	arXiv preprint arXiv:2401.16310	article	Yu, Jiaxin; Liang, Peng; Fu, Yujia; Tahir, Amjed; Shahin, Mojtaba; et al.			
chen2024depression	Depression detection in clinical interviews with LLM-empowered structural element graph	2024	Large Language Models / Foundation Models	Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers)	inproceedings	Chen, Zhuang; Deng, Jiawen; Zhou, Jinfeng; Wu, Jincenzi; Qian, Tieyun; et al.			
pan2024distilling	Distilling large language models for text-attributed graph learning	2024	Large Language Models / Foundation Models	Proceedings of the 33rd ACM International Conference on Information and Knowledge Management	inproceedings	Pan, Bo; Zhang, Zheng; Zhang, Yifei; Hu, Yuntong; Zhao, Liang			
zheng2024editroom	EditRoom: LLM-parameterized Graph Diffusion for Composable 3D Room Layout Editing	2024	Large Language Models / Foundation Models	arXiv preprint arXiv:2410.12836	article	Zheng, Kaizhi; Chen, Xiaotong; He, Xuehai; Gu, Jing; Li, Linjie; et al.			
li2024glbench	Glbench: A comprehensive benchmark for graph with large language models	2024	Large Language Models / Foundation Models	Advances in Neural Information Processing Systems	article	Li, Yuhan; Wang, Peisong; Zhu, Xiao; Chen, Aochuan; Jiang, Haiyun; et al.			
kong2024gofa	Gofa: A generative one-for-all model for joint graph language modeling	2024	Large Language Models / Foundation Models	arXiv preprint arXiv:2407.09709	article	Kong, Lecheng; Feng, Jiarui; Liu, Hao; Huang, Chengsong; Huang, Jiaxin; et al.			
lu2024grace	GRACE: Empowering LLM-based software vulnerability detection with graph structure and in-context learning	2024	Large Language Models / Foundation Models	Journal of Systems and Software	article	Lu, Guilong; Ju, Xiaolin; Chen, Xiang; Pei, Wenlong; Cai, Zhilong			
besta2024graphofthoughts	Graph of Thoughts: Solving Elaborate Problems with Large Language Models	2024	Large Language Models / Foundation Models	Proceedings of the AAAI Conference on Artificial Intelligence	inproceedings	Besta, Maciej; Blach, Nils; Kubicek, Ales; Gerstenberger, Robert; Podstawski, Michal; et al.			
guo2024graphedit	Graphedit: Large language models for graph structure learning	2024	Large Language Models / Foundation Models	arXiv preprint arXiv:2402.15183	article	Guo, Zirui; Xia, Lianghao; Yu, Yanhua; Wang, Yuling; Lu, Kangkang; et al.			
sansford2024grapheval	Grapheval: A knowledge-graph based llm hallucination evaluation framework	2024	Large Language Models / Foundation Models	arXiv preprint arXiv:2407.10793	article	Sansford, Hannah; Richardson, Nicholas; Maretic, Hermina Petric; Saada, Juba Nait			
tang2024graphgpt	Graphgpt: Graph instruction tuning for large language models	2024	Large Language Models / Foundation Models	Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval	inproceedings	Tang, Jiabin; Yang, Yuhao; Wei, Wei; Shi, Lei; Su, Lixin; et al.			
tang2024graphgpt	GraphGPT: Graph Instruction Tuning for Large Language Models	2024	Large Language Models / Foundation Models	Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval	inproceedings	Tang, Jiabin; Yang, Yuhao; Wei, Wei; Shi, Lei; Su, Lixin; et al.			
tang2024higpt	Higpt: Heterogeneous graph language model	2024	Large Language Models / Foundation Models	Proceedings of the 30th ACM SIGKDD conference on knowledge discovery and data mining	inproceedings	Tang, Jiabin; Yang, Yuhao; Wei, Wei; Shi, Lei; Xia, Long; et al.			
wang2024instructgraph	Instructgraph: Boosting large language models via graph-centric instruction tuning and preference alignment	2024	Large Language Models / Foundation Models	Findings of the Association for Computational Linguistics: ACL 2024	inproceedings	Wang, Jianing; Wu, Junda; Hou, Yupeng; Liu, Yao; Gao, Ming; et al.			
wang2024instructgraph	InstructGraph: Boosting Large Language Models via Graph-Centric Instruction Tuning and Preference Alignment	2024	Large Language Models / Foundation Models	Findings of the Association for Computational Linguistics: ACL 2024	inproceedings	Wang, Jianing; Wu, Junda; Hou, Yuxuan; Liu, Yao; Gao, Ming; et al.			
hou2024large	Large language models for software engineering: A systematic literature review	2024	Large Language Models / Foundation Models	ACM Transactions on Software Engineering and Methodology	article	Hou, Xinyi; Zhao, Yanjie; Liu, Yue; Yang, Zhou; Wang, Kailong; et al.			
wei2024llmrec	Llmrec: Large language models with graph augmentation for recommendation	2024	Large Language Models / Foundation Models	Proceedings of the 17th ACM international conference on web search and data mining	inproceedings	Wei, Wei; Ren, Xubin; Tang, Jiabin; Wang, Qinyong; Su, Lixin; et al.			
wang2024save	SaVe-TAG: LLM-based Interpolation for Long-Tailed Text-Attributed Graphs	2024	Large Language Models / Foundation Models	arXiv preprint arXiv:2410.16882	article	Wang, Leyao; Wang, Yu; Ni, Bo; Zhao, Yuying; Wang, Hanyu; et al.			
wang2024software	Software testing with large language models: Survey, landscape, and vision	2024	Large Language Models / Foundation Models	IEEE Transactions on Software Engineering	article	Wang, Junjie; Huang, Yuchao; Chen, Chunyang; Liu, Zhe; Wang, Song; et al.			
szabo2023new	A new approach to web application security: Utilizing gpt language models for source code inspection	2023	Large Language Models / Foundation Models	Future Internet	article	Szabo, Zoltan; Bilicki, Vilmos			
noever2023can	Can large language models find and fix vulnerable software?	2023	Large Language Models / Foundation Models	arXiv preprint arXiv:2308.10345	article	Noever, David			
chen2023graph	Graph meets LLM: A novel approach to collaborative filtering for robust conversational understanding	2023	Large Language Models / Foundation Models	arXiv preprint arXiv:2305.14449	article	Chen, Zheng; Jiang, Ziyan; Yang, Fan; Cho, Eunah; Fan, Xing; et al.			
packer2023memgpt	MemGPT: Towards LLMs as Operating Systems	2023	Large Language Models / Foundation Models	arXiv preprint arXiv:2310.08560	article	Packer, Charles; Wooders, Sarah; Lin, Kevin; Fang, Vivian; Patil, Shishir G.; et al.			
yao2023react	ReAct: Synergizing Reasoning and Acting in Language Models	2023	Large Language Models / Foundation Models	International Conference on Learning Representations	inproceedings	Yao, Shunyu; Zhao, Jeffrey; Yu, Dian; Du, Nan; Shafran, Izhak; et al.			
manakul2023selfcheckgpt	SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models	2023	Large Language Models / Foundation Models	Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing	inproceedings	Manakul, Potsawee; Liusie, Adian; Gales, Mark J. F.			
schick2023toolformer	Toolformer: Language Models Can Teach Themselves to Use Tools	2023	Large Language Models / Foundation Models	Advances in Neural Information Processing Systems	inproceedings	Schick, Timo; Dwivedi-Yu, Jane; Dessi, Roberto; Raileanu, Roberta; Lomeli, Maria; et al.			
thapa2022transformer	Transformer-based language models for software vulnerability detection	2022	Large Language Models / Foundation Models	Proceedings of the 38th Annual Computer Security Applications Conference	inproceedings	Thapa, Chandra; Jang, Seung Ick; Ahmed, Muhammad Ejaz; Camtepe, Seyit; Pieprzyk, Josef; et al.			
ying2021transformers	Do transformers really perform badly for graph representation?	2021	Large Language Models / Foundation Models	Advances in neural information processing systems	article	Ying, Chengxuan; Cai, Tianle; Luo, Shengjie; Zheng, Shuxin; Ke, Guolin; et al.			
fedkt2026	FedKT: A Nature-inspired Bayesian Federated Learning Framework for Privacy-Preserving and Lightweight Consumer Devices	2026	Other / Background	IEEE Transactions on Consumer Electronics	article				
figbo2026	FigBO: A Generalized Acquisition Function Framework with Look-Ahead Capability for Bayesian Optimization	2026	Other / Background	Machine Learning	article				
faye2026tegra	TEGRA: Text Encoding With Graph and Retrieval Augmentation for Misinformation Detection	2026	Other / Background	arXiv preprint arXiv:2602.11106	article	Faye, Geraud; Ouerdane, Wassila; Gadek, Guillaume; Gatepaille, Sylvain; Hudelot, Celine			
client2025	A client-server based recognition system: Non-contact single/multiple emotional and behavioral state assessment methods	2025	Other / Background	Computers and Programs in Biomedicine	article				
point2025	Federated Neural Nonparametric Point Processes	2025	Other / Background	Artificial Intelligence	article				
fedsi2025	FedSI: Federated Subnetwork Inference for Efficient Uncertainty Quantification	2025	Other / Background	IEEE Transactions on Neural Networks and Learning Systems	article				
el2025scanedit	ScanEdit: Hierarchically-Guided Functional 3D Scan Editing	2025	Other / Background	Proceedings of the IEEE/CVF International Conference on Computer Vision	inproceedings	El Amine Boudjoghra, Mohamed; Laptev, Ivan; Dai, Angela			
searchexpert2025	SearchExpert: A GenAI-driven framework for reasoning-intensive multimedia information fusion through fine-tuning and reinforcement learning	2025	Other / Background	Information Fusion	article				
chen2024llaga	Llaga: Large language and graph assistant	2024	Other / Background	arXiv preprint arXiv:2402.08170	article	Chen, Runjin; Zhao, Tong; Jaiswal, Ajay; Shah, Neil; Wang, Zhangyang			
chen2024llaga	LLaGA: Large Language and Graph Assistant	2024	Other / Background	Proceedings of the 41st International Conference on Machine Learning	inproceedings	Chen, Runjin; Zhao, Tong; Jaiswal, Ajay; Shah, Neil; Wang, Zhangyang			
KLR24	Reasoning about Actual Causes in Nondeterministic Dynamic Domains	2024	Other / Background	Proceedings of the Thirty-ninth AAAI Conference on Artificial Intelligence, (AAAI-25)	inproceedings	Shakil M. Khan; Yves Lesperance; Maryam Rostamigiv			
lyu2023faithfulcot	Faithful Chain-of-Thought Reasoning	2023	Other / Background	Proceedings of the 13th International Joint Conference on Natural Language Processing and the 3rd Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics	inproceedings	Lyu, Qing; Havaldar, Shreya; Stein, Adam; Zhang, Li; Rao, Delip; et al.			
YazdanpanahGSDJNR23	Reasoning about responsibility in autonomous systems: challenges and opportunities	2023	Other / Background	AI Soc.	article	Vahid Yazdanpanah; Enrico H. Gerding; Sebastian Stein; Mehdi Dastani; Catholijn M. Jonker; et al.			
zhao2022learning	Learning on large-scale text-attributed graphs via variational inference	2022	Other / Background	arXiv preprint arXiv:2210.14709	article	Zhao, Jianan; Qu, Meng; Li, Chaozhuo; Yan, Hao; Liu, Qian; et al.			
Miller21	Contrastive explanation: a structural-model approach	2021	Other / Background	Knowl. Eng. Rev.	article	Tim Miller			
DeGiacomoLespKR21	The Nondeterministic Situation Calculus	2021	Other / Background	Proceedings of the 18th International Conference on Principles of Knowledge Representation and Reasoning, KR 2021, Online event, November 3-12, 2021	inproceedings	Giuseppe De Giacomo; Yves Lesperance			
KhanS20	Necessary and Sufficient Conditions for Actual Root Causes	2020	Other / Background	ECAI 2020 - 24th European Conference on Artificial Intelligence, 29 August-8 September 2020, Santiago de Compostela, Spain, August 29 - September 8, 2020 - Including 10th Conference on Prestigious Applications of Artificial Intelligence (PAIS 2020)	inproceedings	Shakil M. Khan; Mikhail Soutchanski	10.3233/FAIA200169	https://doi.org/10.3233/FAIA200169	
Sridharan20	REBA-KRL: Refinement-Based Architecture for Knowledge Representation, Explainable Reasoning and Interactive Learning in Robotics	2020	Other / Background	ECAI 2020 - 24th European Conference on Artificial Intelligence, 29 August-8 September 2020, Santiago de Compostela, Spain, August 29 - September 8, 2020 - Including 10th Conference on Prestigious Applications of Artificial Intelligence (PAIS 2020)	inproceedings	Mohan Sridharan			
SridharanM19	Towards a Theory of Explanations for Human-Robot Collaboration	2019	Other / Background	Kunstliche Intell.	article	Mohan Sridharan; Ben Meadows			
BeckersV18	A Principled Approach to Defining Actual Causation	2018	Other / Background	Synthese	article	Sander Beckers; Joost Vennekens			
Herzig2018	Action Theories	2018	Other / Background	Introduction to Formal Philosophy	incollection	Herzig, Andreas; Lorini, Emiliano; Troquard, Nicolas			
BatusovDGS18	Hybrid Temporal Situation Calculus	2018	Other / Background	ArXiv e-prints	article	Vitaliy Batusov; Giuseppe De Giacomo; Mikhail Soutchanski			
LampertiZ18	Introduction to Diagnosis of Active Systems	2018	Other / Background	Springer Netherlands	book	Gianfranco Lamperti; Marina Zanella; Xiangfu Zhao			
BelleL18	Reasoning about Discrete and Continuous Noisy Sensors and Effectors in Dynamical Systems	2018	Other / Background	Artificial Intelligence	article	Vaishak Belle; Hector J. Levesque	10.1016/j.artint.2018.06.003	https://doi.org/10.1016/j.artint.2018.06.003	
vaswani2017attention	Attention is all you need	2017	Other / Background	Advances in neural information processing systems	article	Vaswani, Ashish; Shazeer, Noam; Parmar, Niki; Uszkoreit, Jakob; Jones, Llion; et al.			
hamilton2017inductive	Inductive representation learning on large graphs	2017	Other / Background	Advances in neural information processing systems	article	Hamilton, Will; Ying, Zhitao; Leskovec, Jure			
KL16	Infinite Paths in the Situation Calculus: Axiomatization and Properties	2016	Other / Background	Principles of Knowledge Representation and Reasoning: Proceedings of the Fifteenth International Conference, KR 2016, Cape Town, South Africa, April 25-29, 2016	inproceedings	Shakil M. Khan; Yves Lesperance			
Gossler15	A General Framework for Blaming in Component-Based Systems	2015	Other / Background	Science of Computer Programming	article	Gregor Go\ssler; Daniel Le Metayer			
Weslake15	A Partial Theory of Actual Causation	2015	Other / Background	British Journal for the Philosophy of Science	article	Brad Weslake			
KL15	Infinite Paths in the Situation Calculus	2015	Other / Background	Department of Electrical Engineering and Computer Science, York University	techreport	Shakil M. Khan; Yves Lesperance			
Trave-M14	Bridging Control and Artificial Intelligence Theories for Diagnosis: A Survey	2014	Other / Background	Eng. Appl. of AI	article	Louise Trave-Massuyes			
ZaytoonL13	Overview of Fault Diagnosis Methods for Discrete Event Systems	2013	Other / Background	Annual Reviews in Control	article	Janan Zaytoon; Stephane Lafortune			
GrastienHT12	Conflict-Based Diagnosis of Discrete Event Systems: Theory and Practice	2012	Other / Background	Principles of Knowledge Representation and Reasoning: Proceedings of the Thirteenth Intl. Conference, KR	inproceedings	Alban Grastien; Patrik Haslum; Sylvie Thiebaux			
HaslumG11	Diagnosis as Planning: Two Case Studies	2011	Other / Background	5th Scheduling and Planning Applications Workshop (SPARK)	inproceedings	Patrik Haslum; Alban Grastien			
GlymourDGERSSTZ10	Actual Causation: A Stone Soup Essay	2010	Other / Background	Synthese	article	Clark Glymour; David Danks; Bruce Glymour; Frederick Eberhardt; Joseph D. Ramsey; et al.	10.1007/s11229-009-9497-9	https://doi.org/10.1007/s11229-009-9497-9	
SohrabiBM10	Diagnosis as Planning Revisited	2010	Other / Background	Principles of Knowledge Representation and Reasoning: Proceedings of the Twelfth Intl. Conference, KR	inproceedings	Shirin Sohrabi; Jorge A. Baier; Sheila A. McIlraith			
Shakil2009	A Logical Account of Prioritized Goals and their Dynamics	2009	Other / Background	Proc. of the 9th International Symposium on Logical Formalizations of Commonsense Reasoning.	article	Shakil M. Khan; Yves Lesperance			
GuS08	Reasoning about Large Taxonomies of Actions	2008	Other / Background	Proceedings of the Twenty-Third AAAI Conference on Artificial Intelligence, AAAI	inproceedings	Yilan Gu; Mikhail Soutchanski			
SchumannPT07	A Spectrum of Symbolic On-line Diagnosis Approaches	2007	Other / Background	Proceedings of the Twenty-Second AAAI Conference on Artificial Intelligence	inproceedings	Anika Schumann; Yannick Pencole; Sylvie Thiebaux			
RintanenG07	Diagnosability Testing with Satisfiability Algorithms	2007	Other / Background	Proceedings of the 20th Intl. Joint Conference on Artificial Intelligence, IJCAI	inproceedings	Jussi Rintanen; Alban Grastien			
GrastienARK07	Diagnosis of Discrete-Event Systems Using Satisfiability Algorithms	2007	Other / Background	Proceedings of the Twenty-Second AAAI Conference on Artificial Intelligence	inproceedings	Alban Grastien; Anbulagan; Jussi Rintanen; Elena Kelareva			
ShapLesLev07	Goal Change in the Situation Calculus	2007	Other / Background	Journal of Logic and Computation	article	Steven Shapiro; Yves Lesperance; Hector J. Levesque	10.1093/logcom/exm050	https://doi.org/10.1093/logcom/exm050	
vanDit07	Optimal Regression for Reasoning about Knowledge and Actions	2007	Other / Background	Proceedings of the Twenty-Second AAAI Conference on Artificial Intelligence, July 22-26, 2007, Vancouver, British Columbia, Canada	inproceedings	Hans P. van Ditmarsch; Andreas Herzig; Tiago de Lima		http://www.aaai.org/Library/AAAI/2007/aaai07-170.php	
Hall07	Structural Equations and Causation	2007	Other / Background	Philosophical Studies: An International Journal for Philosophy in the Analytic Tradition	article	Ned Hall			
HalpernP05	Causes and Explanations: A Structural-Model Approach. Part I: Causes	2005	Other / Background	The British Journal for the Philosophy of Science	article	Joseph Y. Halpern; Judea Pearl			
Hopkins05	The Actual Cause: From Intuition to Automation	2005	Other / Background	University of California Los Angeles	phdthesis	Mark Hopkins			
LampertiZ03	Diagnosis of Active Systems: Principles and Techniques	2003	Other / Background	Springer Netherlands	book	Gianfranco Lamperti; Marina Zanella			
SchLev03	Knowledge, action, and the frame problem	2003	Other / Background	Artificial Intelligence	article	Richard B. Scherl; Hector J. Levesque			
Reiter01	Knowledge in Action. Logical Foundations for Specifying and Implementing Dynamical Systems	2001	Other / Background	MIT Press	book	Raymond Reiter			
BoutilierRP01	Symbolic Dynamic Programming for First-Order MDPs	2001	Other / Background	Proceedings of the Seventeenth International Joint Conference on Artificial Intelligence, IJCAI 2001, Seattle, Washington, USA, August 4-10, 2001	inproceedings	Craig Boutilier; Raymond Reiter; Bob Price			
Hitchcock01	The Intransitivity of Causation Revealed in Equations and Graphs	2001	Other / Background	The Journal of Philosophy	article	Christopher Hitchcock			
GiacomoLL00	ConGolog, A Concurrent Programming Language based on the Situation Calculus	2000	Other / Background	Artificial Intelligence	article	Giuseppe De Giacomo; Yves Lesperance; Hector J. Levesque	10.1016/S0004-3702(00)00031-X	https://doi.org/10.1016/S0004-3702(00)00031-X	
McIlraithBCG00	Hybrid Systems Diagnosis	2000	Other / Background	Hybrid Systems: Computation and Control, Third Intl. Workshop, HSCC Proceedings	inproceedings	Sheila A. McIlraith; Gautam Biswas; Dan Clancy; Vineet Gupta			
BacchusHL99	Reasoning about Noisy Sensors and Effectors in the Situation Calculus	1999	Other / Background	Artificial Intelligence	article	Fahiem Bacchus; Joseph Y. Halpern; Hector J. Levesque	10.1016/S0004-3702(99)00031-4	https://doi.org/10.1016/S0004-3702(99)00031-4	
PirriReiter99	Some contributions to the metatheory of the situation calculus	1999	Other / Background	J. ACM	article	Fiora Pirri; Raymond Reiter			
LakemeyerL98	AOL: A logic of Acting, Sensing, Knowing, and Only Knowing	1998	Other / Background	Proceedings of the Sixth International Conference on Principles of Knowledge Representation and Reasoning (KR'98), Trento, Italy, June 2-5, 1998	inproceedings	Gerhard Lakemeyer; Hector J. Levesque			
DeGiacomoRS98	Execution Monitoring of High-Level Robot Programs	1998	Other / Background	Proceedings of the Sixth Intl. Conference on Principles of Knowledge Representation and Reasoning (KR)	inproceedings	Giuseppe De Giacomo; Raymond Reiter; Mikhail Soutchanski			
McIlraith98	Explanatory Diagnosis: Conjecturing Actions to Explain Observations	1998	Other / Background	Proceedings of the Sixth Intl. Conference on Principles of Knowledge Representation and Reasoning (KR)	inproceedings	Sheila A. McIlraith			
LevPirRei98	Foundations for the Situation Calculus	1998	Other / Background	Electronic Transactions on Artificial Intelligence (ETAI)	article	Hector J. Levesque; Fiora Pirri; Raymond Reiter			
Pearl98	On the Definition of Actual Cause	1998	Other / Background	University of California Los Angeles	techreport	Judea Pearl			
SampathSLST96	Failure Diagnosis using Discrete-Event Models	1996	Other / Background	IEEE Trans. Contr. Sys. Techn.	article	Meera Sampath; Raja Sengupta; Stephane Lafortune; Kasim Sinnamohideen; Demosthenis Teneketzis			
Lev96	What Is Planning in the Presence of Sensing?	1996	Other / Background	Proceedings of the Thirteenth National Conference on Artificial Intelligence and Eighth Innovative Applications of Artificial Intelligence Conference, AAAI, IAAI, Volume 2	inproceedings	Hector J. Levesque			
SampathSLST95	Diagnosability of Discrete Event Systems	1995	Other / Background	IEEE Transactions Automatic Control	article	Meera Sampath; Raja Sengupta; Stephane Lafortune; Kasim Sinnamohideen; Demosthenis Teneketzis			
CordierT94	Event-Based Diagnosis for Evolutive Systems	1994	Other / Background	Proceedings of the 5th Intl. Workshop on Principles of Diagnosis	inproceedings	Marie-Odile Cordier; Sylvie Thiebaux			
McIlraith94	Towards a Theory of Diagnosis, Testing and Repair	1994	Other / Background	Proceedings of the 5th Intl. Workshop on Principles of Diagnosis (DX)	inproceedings	Sheila A. McIlraith			
Shanahan93	Explanation in the Situation Calculus	1993	Other / Background	Proceedings of the 13th International Joint Conference on Artificial Intelligence. Chambery, France, August 28 - September 3, 1993	inproceedings	Murray Shanahan			
deKleerMR92	Characterizing Diagnoses and Systems	1992	Other / Background	Artificial Intelligence	article	Johan de Kleer; Alan K. Mackworth; Raymond Reiter			
WeldDeKleer1990Readings	Readings in Qualitative Reasoning about Physical Systems	1990	Other / Background	Morgan Kaufmann	book	Weld, D.S.; De Kleer, J.		https://books.google.ca/books?id=ZYJQAAAAMAAJ	
